,0,1
0,-7.066805582676565e-06,-7.592086836467103e-06
1,-7.0467370956540714e-06,-7.502821116997667e-06
2,-6.393247367293668e-06,-6.965908432772811e-06
3,-5.254173429375596e-06,-6.065358459734409e-06
4,-3.966031191208114e-06,-4.9972171878582205e-06
5,-2.9376782432348914e-06,-4.004288651931204e-06
6,-2.5002111345079633e-06,-3.3076801226636404e-06
7,-2.769447631225998e-06,-3.0414653216219673e-06
8,-3.5786312545765664e-06,-3.2038808423780915e-06
9,-4.524957046630089e-06,-3.6436930132706697e-06
10,-5.130940554862531e-06,-4.1001369265897275e-06
11,-5.075496124253503e-06,-4.3075014040831704e-06
12,-4.3952536366492965e-06,-4.135421618675157e-06
13,-3.5361453213167262e-06,-3.6923497081378657e-06
14,-3.1923050278078196e-06,-3.325117147127014e-06
15,-3.9743993343694655e-06,-3.4841707898681713e-06
16,-6.053034830419235e-06,-4.491290414732486e-06
17,-8.969773264656028e-06,-6.325687414288326e-06
18,-1.1751656389618321e-05,-8.549566700565883e-06
19,-1.3313524798845522e-05,-1.0439413109228501e-05
20,-1.2971564630936575e-05,-1.1286792863571364e-05
21,-1.080908356207635e-05,-1.0729537114184906e-05
22,-7.683715158440376e-06,-8.94379998306917e-06
23,-4.846084334237694e-06,-6.584821039635601e-06
24,-3.355547654293072e-06,-4.4966477342011974e-06
25,-3.592172198732917e-06,-3.33443080272632e-06
26,-5.116625095288077e-06,-3.2877048101594495e-06
27,-6.9490025429826455e-06,-4.0420600667800195e-06
28,-8.110363459963549e-06,-4.9897288897666e-06
29,-8.12231796432534e-06,-5.561048704883128e-06
30,-7.195264265584014e-06,-5.493674499692153e-06
31,-6.019764031788558e-06,-4.904387616387272e-06
32,-5.301070905237655e-06,-4.143124575542786e-06
33,-5.3202872047162e-06,-3.5329744669819825e-06
34,-5.779024980091339e-06,-3.16380097391066e-06
35,-6.005102023561461e-06,-2.8604418779313673e-06
36,-5.3799584118934836e-06,-2.3259348971680284e-06
37,-3.732367670654781e-06,-1.3631656031978728e-06
38,-1.4658401294371145e-06,-3.123356099083684e-08
39,6.496674732798409e-07,1.361969215253622e-06
40,1.8901845357412532e-06,2.418536275103743e-06
41,1.9549312235444486e-06,2.8642978765772485e-06
42,1.0936409250076952e-06,2.6848054389866745e-06
43,-7.53220192224939e-08,2.1012960223665983e-06
44,-9.292377587715286e-07,1.419114022457385e-06
45,-1.1709680207690957e-06,8.474232224590097e-07
46,-9.448872050693247e-07,3.994649901317102e-07
47,-6.890537195120506e-07,-6.597868591007934e-08
48,-8.253919539416622e-07,-6.972295872289506e-07
49,-1.4795391941541857e-06,-1.4984073388518984e-06
50,-2.39326569786407e-06,-2.275679356329597e-06
51,-3.0725418474661494e-06,-2.7197615084231937e-06
52,-3.077512551669237e-06,-2.578570948601119e-06
53,-2.2832499692818277e-06,-1.8166644390115471e-06
54,-9.659768469802973e-07,-6.634315215872965e-07
55,3.272957715628018e-07,4.798575843631413e-07
56,1.0436615868660641e-06,1.2182367896842755e-06
57,8.824240410072634e-07,1.3306866211080154e-06
58,-8.105195821211274e-08,8.439912880791932e-07
59,-1.4626880979280308e-06,-1.85371631279829e-08
60,-2.773729635409424e-06,-9.68866082772838e-07
61,-3.6451893909526263e-06,-1.7843100281783646e-06
62,-3.962198369673237e-06,-2.3716756455955346e-06
63,-3.856767511409965e-06,-2.750234811230235e-06
64,-3.5895570538878903e-06,-2.9884066378072295e-06
65,-3.403166382553446e-06,-3.149506065269432e-06
66,-3.424458958362731e-06,-3.278009794821619e-06
67,-3.6502612017894887e-06,-3.4190400013135334e-06
68,-4.002907767557138e-06,-3.6373051898589985e-06
69,-4.40196468167021e-06,-4.001098920256015e-06
70,-4.8011883267329335e-06,-4.531988700707117e-06
71,-5.186981240619488e-06,-5.160778315691169e-06
72,-5.563241131602158e-06,-5.73422841681137e-06
73,-5.94203067988684e-06,-6.085790663055085e-06
74,-6.351848571311552e-06,-6.138546153041455e-06
75,-6.848821697607835e-06,-5.9744657899568995e-06
76,-7.496997643618874e-06,-5.810345173748849e-06
77,-8.3128902552481e-06,-5.8776081087362085e-06
78,-9.206943074783008e-06,-6.275179443067076e-06
